Start;Duration;Pitch;Velocity;instrument
131.0;0.5;59;1.0;
131.5;0.5;60;1.0;
132.0;0.25;62;1.0;
132.25;0.25;67;0.7874015748031497;
132.5;0.5;62;1.0;
134.0;0.5;67;1.0;
134.5;0.5;62;1.0;
135.0;0.25;62;1.0;
135.5;0.25;62;1.0;
136.0;0.5;62;1.0;
136.5;0.5;60;1.0;
137.0;0.5;59;1.0;
137.5;0.5;57;1.0;
138.0;0.5;55;1.0;
138.5;0.5;55;1.0;
139.0;0.5;55;1.0;
140.0;0.5;79;1.0;
140.5;0.5;74;1.0;
141.0;0.5;74;1.0;
141.5;0.5;74;1.0;
142.0;0.5;74;1.0;
142.5;0.5;72;1.0;
143.0;0.5;71;1.0;
143.5;0.5;72;0.7874015748031497;
144.0;0.5;74;1.0;
144.5;0.5;79;1.0;
145.0;0.5;74;1.0;
146.0;0.5;79;1.0;
146.5;0.5;74;1.0;
147.0;0.5;74;1.0;
147.5;0.5;74;1.0;
148.0;0.5;74;1.0;
148.5;0.5;72;1.0;
149.0;0.5;71;1.0;
149.5;0.5;69;1.0;
150.0;0.5;67;1.0;
150.5;0.5;67;1.0;
151.0;0.5;67;1.0;
152.0;0.5;59;1.0;
152.5;0.5;59;1.0;
153.0;0.5;60;1.0;
153.5;0.5;60;1.0;
154.0;0.5;59;1.0;
154.5;0.5;59;1.0;
155.0;0.5;57;1.0;
155.5;0.5;57;1.0;
156.0;0.25;71;1.0;
156.5;0.25;71;1.0;
157.0;0.25;72;1.0;
157.5;0.25;72;1.0;
158.0;0.5;74;1.0;
158.5;0.5;79;1.0;
159.0;1.0;74;1.0;
160.0;0.5;59;1.0;
160.5;0.5;59;1.0;
161.0;0.5;60;1.0;
161.5;0.5;60;1.0;
162.0;0.5;62;1.0;
162.5;0.5;62;1.0;
163.0;0.5;62;1.0;
163.5;0.5;62;1.0;
164.0;0.25;74;1.0;
164.5;0.25;72;1.0;
165.0;0.25;71;1.0;
165.5;0.25;69;1.0;
166.0;0.5;67;1.0;
166.5;0.5;79;1.0;
167.0;0.5;67;1.0;
168.0;0.5;59;1.0;
168.5;0.5;59;1.0;
169.0;0.5;60;1.0;
169.5;0.5;60;1.0;
170.0;0.5;59;1.0;
170.5;0.5;59;1.0;
171.0;0.5;57;1.0;
171.5;0.5;57;1.0;
172.0;0.25;71;1.0;
172.5;0.25;71;1.0;
173.0;0.25;72;1.0;
173.5;0.25;72;1.0;
174.0;0.5;74;1.0;
174.5;0.25;79;1.0;
175.0;1.0;74;1.0;
176.0;0.5;59;1.0;
176.5;0.5;59;1.0;
177.0;0.5;60;1.0;
177.5;0.5;60;1.0;
178.0;0.5;62;1.0;
178.5;0.5;62;1.0;
179.0;0.5;62;1.0;
179.5;0.5;62;1.0;
180.0;0.25;74;1.0;
180.5;0.25;72;1.0;
181.0;0.25;71;1.0;
181.5;0.25;69;1.0;
182.0;0.5;67;1.0;
182.5;0.25;79;1.0;
183.0;0.5;67;1.0;
184.0;1.5;62;1.0;
185.5;0.5;67;1.0;
186.0;1.5;70;1.0;
187.5;0.5;67;1.0;
188.0;1.5;66;1.0;
189.5;0.25;67;1.0;
189.75;0.25;69;1.0;
190.0;2.0;67;1.0;
192.0;1.5;63;1.0;
193.5;0.25;65;1.0;
193.75;0.25;67;1.0;
194.0;2.0;62;1.0;
196.0;0.25;60;1.0;
196.25;0.37;58;1.0;
197.0;0.75;57;1.0;
197.75;0.25;62;1.0;
198.0;2.0;55;1.0;
200.0;1.0;58;1.0;
202.0;1.5;74;1.0;
203.5;0.5;70;1.0;
204.0;0.25;69;0.7874015748031497;
204.5;0.25;69;0.7874015748031497;
205.0;0.25;69;0.7874015748031497;
205.5;0.25;70;1.0;
205.75;0.25;72;1.0;
206.0;2.0;70;1.0;
208.0;0.25;75;1.0;
208.25;0.25;77;1.0;
208.5;0.25;79;1.0;
208.75;0.25;75;1.0;
209.0;0.25;74;1.0;
